epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.94395,2.42055,4.72158,1.83336,0,0,0,0,2.66114,5.61115,1.72482,8.335e-05,8.335e-05,8.335e-05
2,9.03119,1.87337,4.44793,1.44823,0.00067,0.08333,0.00039,0.00024,2.21819,4.8965,1.08023,0.000181555,0.000181555,0.000181555
3,12.0932,1.88521,4.21608,1.40755,0.00192,0.25,0.01844,0.00496,2.0632,4.8289,1.1018,0.000277779,0.000277779,0.000277779
4,15.0849,1.95922,3.89152,1.39709,0.00315,0.375,0.01062,0.00259,2.01756,4.67741,1.09154,0.000372023,0.000372023,0.000372023
5,17.9644,2.0879,3.30902,1.41526,0.00633,0.75,0.00793,0.00307,1.91808,4.74976,1.03762,0.000464286,0.000464286,0.000464286
6,20.6203,2.11684,3.96331,1.27306,0.00642,0.75,0.00697,0.00254,2.12742,4.71987,1.07057,0.000554569,0.000554569,0.000554569
7,23.3016,1.83486,2.93738,1.28733,0.00438,0.58333,0.00418,0.00132,2.14409,4.47142,1.11061,0.000642872,0.000642872,0.000642872
8,25.9097,1.91337,2.92763,1.50238,0.00217,0.25,0.00164,0.00074,2.20171,4.34046,1.08097,0.000729194,0.000729194,0.000729194
9,28.4324,1.74595,3.35902,1.31898,0.00387,0.45833,0.09469,0.04156,2.34032,4.4397,1.11623,0.000813536,0.000813536,0.000813536
10,30.9849,1.58659,3.91268,1.15122,0.00565,0.66667,0.35421,0.14455,1.95899,4.21284,1.06891,0.000895897,0.000895897,0.000895897
11,33.4994,1.85285,2.80704,1.29363,0.00656,0.79167,0.36609,0.13606,1.91258,3.96034,1.04766,0.000976279,0.000976279,0.000976279
12,36.0259,1.92018,2.82219,1.35428,1,0.24743,0.4878,0.16376,2.04124,3.82365,1.12504,0.00105468,0.00105468,0.00105468
13,38.5692,2.00832,2.801,1.3607,1,0.26485,0.50043,0.17849,2.19959,3.83185,1.11344,0.0011311,0.0011311,0.0011311
14,41.1193,1.80181,2.57578,1.30036,1,0.15583,0.4686,0.18315,2.2321,3.60767,1.10718,0.00120554,0.00120554,0.00120554
15,43.616,1.89998,2.73493,1.37376,1,0.15583,0.4686,0.18315,2.2321,3.60767,1.10718,0.001278,0.001278,0.001278
16,46.2153,1.85766,2.54585,1.28844,0.87852,0.08333,0.23299,0.10997,2.18006,3.52257,1.0644,0.00134848,0.00134848,0.00134848
17,48.8851,2.13312,3.24625,1.35661,0.91667,0.08333,0.18011,0.08813,2.29946,3.6767,1.07826,0.00140295,0.00140295,0.00140295
18,51.5204,1.88714,2.67564,1.19683,0.78935,0.08333,0.69626,0.25598,2.30528,3.30011,1.09974,0.00138644,0.00138644,0.00138644
19,54.1983,1.84303,2.73324,1.21166,0.78935,0.08333,0.69626,0.25598,2.30528,3.30011,1.09974,0.00136994,0.00136994,0.00136994
20,56.8977,1.91016,2.63429,1.21664,0.91424,0.65009,0.94883,0.36138,2.26441,2.87689,1.16499,0.00135344,0.00135344,0.00135344
21,59.644,1.88587,2.49538,1.40755,0.85626,0.8628,0.95929,0.31082,2.42865,2.6229,1.33065,0.00133693,0.00133693,0.00133693
22,62.2218,1.51878,3.21062,1.10135,0.91573,0.82274,0.92667,0.26502,2.49262,2.61339,1.33375,0.00132043,0.00132043,0.00132043
23,64.8745,1.83466,2.1458,1.29074,0.91573,0.82274,0.92667,0.26502,2.49262,2.61339,1.33375,0.00130393,0.00130393,0.00130393
24,67.536,1.77219,2.42339,1.23417,0.75547,0.79167,0.74673,0.23638,2.46447,2.47175,1.21781,0.00128742,0.00128742,0.00128742
25,70.1695,1.79655,2.35103,1.36465,0.87311,0.79167,0.85888,0.32614,2.24743,2.28937,1.19784,0.00127092,0.00127092,0.00127092
26,72.7581,1.49571,2.898,1.11353,0.91985,0.75024,0.85888,0.35147,2.18645,2.1132,1.20404,0.00125442,0.00125442,0.00125442
27,75.3741,1.80864,1.97177,1.19758,0.91985,0.75024,0.85888,0.35147,2.18645,2.1132,1.20404,0.00123791,0.00123791,0.00123791
28,78.0298,1.72687,2.20841,1.33273,0.95577,0.9074,0.98357,0.36819,2.13554,2.10676,1.14741,0.00122141,0.00122141,0.00122141
29,80.6603,1.89637,2.21083,1.36474,0.94257,0.90564,0.98357,0.36462,2.23505,2.13721,1.18361,0.00120491,0.00120491,0.00120491
30,83.2405,1.80611,1.91181,1.33759,0.93831,0.90504,0.98357,0.34854,2.26728,2.03822,1.25806,0.0011884,0.0011884,0.0011884
31,85.9059,1.8124,2.26606,1.51958,0.93831,0.90504,0.98357,0.34854,2.26728,2.03822,1.25806,0.0011719,0.0011719,0.0011719
32,88.6145,1.70063,2.19164,1.41573,0.82931,0.78237,0.88357,0.29612,2.39964,1.99498,1.34854,0.0011554,0.0011554,0.0011554
33,91.1995,1.749,1.93647,1.33109,0.9582,0.9045,0.975,0.36688,2.32417,2.08904,1.32922,0.00113889,0.00113889,0.00113889
34,93.8173,1.71339,2.06994,1.46376,0.85334,0.83333,0.86855,0.31618,2.29417,2.14125,1.31376,0.00112239,0.00112239,0.00112239
35,96.3445,1.5331,1.83,1.17929,0.85334,0.83333,0.86855,0.31618,2.29417,2.14125,1.31376,0.00110589,0.00110589,0.00110589
36,98.9852,1.50217,2.2252,1.29492,0.7842,0.83333,0.86103,0.33648,2.26741,2.10102,1.27815,0.00108938,0.00108938,0.00108938
37,101.579,1.34275,2.53499,1.10519,0.87795,0.81391,0.83825,0.34481,2.24494,2.36562,1.24814,0.00107288,0.00107288,0.00107288
38,104.211,1.62274,2.00876,1.22026,0.87285,0.81538,0.85151,0.32834,2.10991,2.43757,1.19698,0.00105638,0.00105638,0.00105638
39,106.862,1.54695,1.90969,1.15316,0.87285,0.81538,0.85151,0.32834,2.10991,2.43757,1.19698,0.00103987,0.00103987,0.00103987
40,109.551,1.54324,1.8042,1.29267,0.83303,0.82252,0.88705,0.37785,2.07203,2.18188,1.1834,0.00102337,0.00102337,0.00102337
41,112.147,1.45736,1.52017,1.14415,0.87735,0.81358,0.91412,0.41225,2.03558,1.96941,1.17123,0.00100687,0.00100687,0.00100687
42,114.667,1.2512,2.21808,0.97453,0.78058,0.86094,0.87073,0.32797,2.22234,1.91933,1.25181,0.000990365,0.000990365,0.000990365
43,117.152,1.47024,1.87179,1.24148,0.78058,0.86094,0.87073,0.32797,2.22234,1.91933,1.25181,0.000973861,0.000973861,0.000973861
44,119.789,1.57072,1.51464,1.23531,0.76831,0.875,0.81554,0.32477,2.35601,2.08274,1.29508,0.000957358,0.000957358,0.000957358
45,122.331,1.65838,1.7511,1.28613,0.73063,0.78154,0.7174,0.23186,2.38601,2.11578,1.25789,0.000940855,0.000940855,0.000940855
46,124.863,1.47638,1.51815,1.1821,0.8269,0.90153,0.92667,0.28456,2.41419,2.27367,1.22849,0.000924352,0.000924352,0.000924352
47,127.348,1.51635,1.70311,1.22502,0.8269,0.90153,0.92667,0.28456,2.41419,2.27367,1.22849,0.000907848,0.000907848,0.000907848
48,129.783,1.40899,1.73768,1.22839,0.82074,0.89878,0.92667,0.31287,2.31562,2.35474,1.1945,0.000891345,0.000891345,0.000891345
49,132.313,1.4991,1.51608,1.10604,0.75921,0.9107,0.92075,0.30864,2.16623,2.26755,1.19351,0.000874842,0.000874842,0.000874842
50,134.849,1.49632,1.59686,1.28169,0.83373,0.97563,0.93571,0.33595,2.16565,2.18422,1.23216,0.000858338,0.000858338,0.000858338
51,137.345,1.41258,1.52476,1.10034,0.83373,0.97563,0.93571,0.33595,2.16565,2.18422,1.23216,0.000841835,0.000841835,0.000841835
52,139.925,1.44107,1.58108,1.22389,0.87701,0.90197,0.91917,0.32807,2.13268,1.997,1.26144,0.000825332,0.000825332,0.000825332
53,142.457,1.13745,1.91017,0.96897,0.88503,0.89922,0.91917,0.37524,1.99776,1.86345,1.23357,0.000808828,0.000808828,0.000808828
54,145.025,1.4593,1.59059,1.17403,0.79247,0.92502,0.93333,0.43249,1.92489,1.91554,1.18967,0.000792325,0.000792325,0.000792325
55,147.55,1.59422,1.4876,1.2165,0.79247,0.92502,0.93333,0.43249,1.92489,1.91554,1.18967,0.000775822,0.000775822,0.000775822
56,150.063,1.45348,1.42059,1.22522,0.79343,0.91667,0.89733,0.42365,1.94903,1.86039,1.19318,0.000759318,0.000759318,0.000759318
57,152.617,1.77899,2.30528,1.19717,0.76201,0.90121,0.86489,0.40317,2.07811,1.8908,1.21879,0.000742815,0.000742815,0.000742815
58,155.046,1.39027,1.30927,1.12811,0.81945,0.8234,0.8679,0.3629,2.24245,2.02817,1.25776,0.000726312,0.000726312,0.000726312
59,157.481,1.47006,1.51305,1.23532,0.81945,0.8234,0.8679,0.3629,2.24245,2.02817,1.25776,0.000709809,0.000709809,0.000709809
60,159.963,1.5291,1.90455,1.25648,0.81946,0.83333,0.87679,0.33195,2.23631,2.2748,1.26197,0.000693305,0.000693305,0.000693305
61,162.524,1.3252,1.45624,1.09514,0.76174,0.89576,0.87764,0.34133,2.29513,2.43532,1.28799,0.000676802,0.000676802,0.000676802
62,165.088,1.36555,1.40054,1.10182,0.69727,0.8236,0.81757,0.33504,2.37007,2.29895,1.30887,0.000660299,0.000660299,0.000660299
63,167.829,1.37505,1.37577,1.15372,0.69727,0.8236,0.81757,0.33504,2.37007,2.29895,1.30887,0.000643795,0.000643795,0.000643795
64,170.491,1.31684,1.30849,1.12032,0.70452,0.82495,0.77165,0.29362,2.40653,2.18804,1.33347,0.000627292,0.000627292,0.000627292
65,173.078,1.24475,1.36137,1.09653,0.71697,0.82372,0.75525,0.30767,2.41189,2.06336,1.34726,0.000610789,0.000610789,0.000610789
66,175.675,1.44189,1.43379,1.09319,0.80734,0.90346,0.88595,0.28295,2.47321,1.95066,1.37571,0.000594286,0.000594286,0.000594286
67,178.242,1.43245,1.59655,1.11126,0.80734,0.90346,0.88595,0.28295,2.47321,1.95066,1.37571,0.000577782,0.000577782,0.000577782
68,180.9,1.23187,1.46504,1.19634,0.79557,0.87188,0.87278,0.24322,2.54506,1.86939,1.40767,0.000561279,0.000561279,0.000561279
69,183.489,1.2735,1.38201,1.1173,0.78435,0.87032,0.82766,0.24517,2.57775,1.84447,1.40463,0.000544776,0.000544776,0.000544776
70,186.075,1.32516,1.71481,1.08641,0.84569,0.86607,0.83909,0.25638,2.55849,1.9427,1.38512,0.000528272,0.000528272,0.000528272
71,188.642,1.42575,1.48904,1.27649,0.84569,0.86607,0.83909,0.25638,2.55849,1.9427,1.38512,0.000511769,0.000511769,0.000511769
72,191.334,1.0288,1.75092,0.86862,0.85679,0.875,0.83909,0.25548,2.53461,1.95269,1.37872,0.000495266,0.000495266,0.000495266
73,193.982,1.42733,1.47871,1.03958,0.67491,0.70481,0.59538,0.22385,2.5126,1.89252,1.37613,0.000478762,0.000478762,0.000478762
74,196.564,1.29304,1.36957,1.17607,0.65081,0.70833,0.59765,0.26069,2.51286,1.81256,1.39252,0.000462259,0.000462259,0.000462259
75,199.161,1.1971,1.23884,1.00475,0.65081,0.70833,0.59765,0.26069,2.51286,1.81256,1.39252,0.000445756,0.000445756,0.000445756
76,201.791,1.4951,1.44951,1.16144,0.71994,0.79016,0.66657,0.24085,2.44162,1.82213,1.37711,0.000429253,0.000429253,0.000429253
77,204.436,1.13077,1.85113,0.91343,0.72148,0.79167,0.65007,0.21805,2.46257,1.82475,1.39353,0.000412749,0.000412749,0.000412749
78,207.013,1.28219,1.34336,1.105,0.70093,0.79167,0.66657,0.22023,2.55709,1.84936,1.42801,0.000396246,0.000396246,0.000396246
79,209.601,1.2209,1.19988,1.03148,0.70093,0.79167,0.66657,0.22023,2.55709,1.84936,1.42801,0.000379743,0.000379743,0.000379743
80,212.181,1.24053,1.25785,1.09679,0.77192,0.70187,0.60678,0.21445,2.55491,1.88569,1.42053,0.000363239,0.000363239,0.000363239
81,214.859,1.25052,1.61766,1.16872,0.653,0.70833,0.58607,0.20625,2.51353,2.02426,1.39546,0.000346736,0.000346736,0.000346736
82,217.476,1.41535,1.40854,1.06969,0.61816,0.70156,0.63101,0.24192,2.46434,2.1183,1.36127,0.000330233,0.000330233,0.000330233
83,220.057,1.05881,1.67918,0.94922,0.61816,0.70156,0.63101,0.24192,2.46434,2.1183,1.36127,0.000313729,0.000313729,0.000313729
84,222.673,1.33121,1.37367,1.09917,0.62516,0.7181,0.61765,0.24331,2.48959,2.03704,1.3794,0.000297226,0.000297226,0.000297226
85,225.388,1.1329,1.17838,1.02568,0.657,0.70833,0.57089,0.20655,2.44144,1.97361,1.35647,0.000280723,0.000280723,0.000280723
86,228.009,1.19613,1.2719,1.07586,0.7559,0.78897,0.66665,0.2111,2.46153,1.91966,1.34938,0.00026422,0.00026422,0.00026422
87,230.627,1.12154,1.18651,1.05431,0.7559,0.78897,0.66665,0.2111,2.46153,1.91966,1.34938,0.000247716,0.000247716,0.000247716
88,233.197,0.88464,1.63717,0.8461,0.75901,0.7871,0.66805,0.20102,2.47436,1.95559,1.35387,0.000231213,0.000231213,0.000231213
89,235.845,1.37041,1.39916,1.10848,0.76312,0.79134,0.67138,0.19808,2.4537,2.00926,1.35876,0.00021471,0.00021471,0.00021471
90,238.467,0.87481,1.61126,0.82975,0.76018,0.79167,0.66805,0.19797,2.44499,2.03359,1.36209,0.000198206,0.000198206,0.000198206
91,241.122,1.14403,1.39024,1.13268,0.76018,0.79167,0.66805,0.19797,2.44499,2.03359,1.36209,0.000181703,0.000181703,0.000181703
92,243.71,1.21931,1.48982,1.23753,0.758,0.79167,0.66665,0.20449,2.4817,2.00334,1.37435,0.0001652,0.0001652,0.0001652
93,246.27,1.02353,1.26177,1.01898,0.75432,0.79167,0.66805,0.21104,2.50525,1.91976,1.373,0.000148696,0.000148696,0.000148696
94,248.844,1.03391,1.31973,1.11674,0.75825,0.79167,0.66806,0.21047,2.53226,1.87622,1.37871,0.000132193,0.000132193,0.000132193
95,251.36,1.145,1.34741,1.05659,0.75825,0.79167,0.66806,0.21047,2.53226,1.87622,1.37871,0.00011569,0.00011569,0.00011569
96,253.934,0.97825,1.5023,1.00278,0.75451,0.78824,0.66538,0.21104,2.53425,1.889,1.37213,9.91865e-05,9.91865e-05,9.91865e-05
97,256.629,1.01399,1.22264,1.01344,0.75369,0.78592,0.65593,0.23731,2.52643,1.89481,1.3653,8.26832e-05,8.26832e-05,8.26832e-05
98,259.468,1.06064,1.31996,1.03748,0.74734,0.77728,0.65471,0.23119,2.52202,1.91221,1.36029,6.61799e-05,6.61799e-05,6.61799e-05
99,262.242,1.05235,1.37569,0.99718,0.74734,0.77728,0.65471,0.23119,2.52202,1.91221,1.36029,4.96766e-05,4.96766e-05,4.96766e-05
100,264.985,1.05776,1.38943,1.14919,0.74628,0.77343,0.6555,0.22793,2.5242,1.90345,1.3564,3.31733e-05,3.31733e-05,3.31733e-05
